,도로명전체주소,사업장명
1457775,경기도 광명시 오리로 1011 (광명동),황금포차
1457776,경기도 광명시 광명로918번길 10-1 (광명동),담은보쌈
1457873,경기도 광명시 오리로991번길 1 (광명동),양평해장국
1457937,"경기도 광명시 시청로 97, 1층 일부호 (철산동)",비비큐치킨(철산점)
1457938,"경기도 광명시 광명로 808, 1층 (광명동, 경기빌딩)",이화황제의만찬
1458077,경기도 광명시 하안로287번길 11 (하안동),전주민물매운탕
1458096,경기도 광명시 광명로927번길 7 (광명동),면사무소
1458234,"경기도 광명시 기아로6번길 26, 1층 (소하동)",충현갈비
1458235,경기도 광명시 범안로 833 (하안동),늘솜쭈꾸미갑오징어
1458236,"경기도 광명시 기아로 17 (소하동,2층)",신가네부대찌개
1459514,경기도 광명시 오리로942번길 4 (광명동),광명맛집
1459600,"경기도 광명시 오리로995번길 7 (광명동,1층)",희주미손 칼국수
1459601,경기도 광명시 범안로 1040 (하안동),김밥천국
1459602,경기도 광명시 오리로 887 (철산동),라임하우스
1459918,경기도 광명시 하안로287번길 13 (하안동),고향토종순대국
1459939,"경기도 광명시 오리로 1005 (광명동,1층)",주주마당
1478160,"경기도 광명시 광명로 872, 1층 전체호 (광명동)",생고기스톤하우스
1479325,"경기도 광명시 너부대로 47, 1층 전체호 (광명동)",청년피자광명철산점
1479403,"경기도 광명시 광명역로 26, 상가동 123호 (일직동, 광명역파크자이)",가유카페
1479618,"경기도 광명시 범안로 1046, 1층 103호 (하안동)",바나프레소광명하안점
1479664,"경기도 광명시 새빛공원로 67, 광명역자이타워 C동 201~204호 (일직동)",이비가짬뽕광명역점
1479665,"경기도 광명시 금하로527번길 10-5, 1층 (소하동)",전라도팥칼국수
1479966,"경기도 광명시 신기로17번길 3, 서원빌딩 105호 (일직동)",막이오름광명일직점
1480830,"경기도 광명시 오리로 346, 행운드림프라자 107호 (소하동)",피자마루광명역세권점
1481205,"경기도 광명시 덕안로77번길 9, 102호 (일직동)",동춘돌곱창광명점
1481259,"경기도 광명시 광명로 858, 1층 2호 (광명동)",60계치킨광명사거리점
1481392,"경기도 광명시 새빛공원로 67, B동 201,202,203호 (일직동)",본초미역
1481393,"경기도 광명시 광명로918번길 11, 1층 일부호 (광명동)",숙이네소머리국밥
1482784,"경기도 광명시 일직로 17, 롯데아울렛 5층 일부호 (일직동)",차이(Chai)797광명롯데몰점
1482870,"경기도 광명시 오리로 1026-3, 1층 일부호 (광명동)",미스터보쌈앤스탠딩스테이크
1483001,"경기도 광명시 하안로 60, 광명테크노파크 E동 201호일부호 (소하동)",시바네햄버거가게
1484322,"경기도 광명시 범안로 1061, 삼전빌딩 107호 (하안동)",떡볶이참잘하는집떡참광명하안점
1484323,"경기도 광명시 오리로942번길 4, 2층 전체호 (광명동)",나무카페맥주
1484756,"경기도 광명시 새터로 44-7, B3층 130호 (광명동, 광명아크포레자이위브)",백스비어광명아크포레자이점
1484757,"경기도 광명시 철산로30번길 22, 서울빌딩 2층 202호 (철산동)",떡슐랭광명철산점
1484758,"경기도 광명시 오리로985번안길 7, 1층 일부호 (광명동)",3이너프
1484759,"경기도 광명시 도덕로 65, 1층 101호 (광명동, 대흥빌라트)",숙수방
1484808,"경기도 광명시 금하로527번길 10-6, 1층 일부호 (소하동)",노랑식품
1484809,"경기도 광명시 소하로109번길 13-8, 광장프라자 104호 (소하동)",장수통닭
1485321,"경기도 광명시 덕안로104번길 17, 광명역엠클러스터 6층 615호 (일직동)",스타트온샐러드
1485322,"경기도 광명시 오리로963번길 10-1, 1층 전부호 (광명동)",광명호프
1485363,"경기도 광명시 광명로848번길 12, 2층 (광명동)",주식회사 카페트루
1487215,"경기도 광명시 일직로12번길 24, 203호 (일직동)",양하오양갈비
1487604,"경기도 광명시 덕안로104번길 17, 6층 615일부호 (일직동)",협동조합담다
1487891,"경기도 광명시 양지로 11, 유-플래닛 광명역 유-스트리트몰 에이-1동 에이113호 (일직동)",언노운
1487925,"경기도 광명시 광일로 70-1, 101호 (철산동)",부타앤카츠
1488293,"경기도 광명시 양달로20번길 3, 진광빌딩 (일직동)",주주비
1488459,"경기도 광명시 도덕공원로 59, 상가동 101호 (철산동, 광명푸르지오아파트)",광명도덕점비비큐
1488460,"경기도 광명시 오리로619번길 28, 지하1층~지상3층 (하안동)",광명아리랑
1488461,"경기도 광명시 새빛공원로 67, 자이타워 C동 117-3호 (일직동)",보스톤샐러드하우스광명역점
1488462,"경기도 광명시 안재로6번길 24, 1층 101호 (하안동)",을찌로국물떡볶이광명하안점
1488546,"경기도 광명시 하안로 293-12, 대연빌딩 103호 (하안동)",연어로
1488547,"경기도 광명시 안현로 19, 하안주공1단지종합상가 124호 일부호 (하안동)",제육만하안점
1488773,"경기도 광명시 일직로 77, 산타마리아 105호 (일직동)",88식당
